iter	RMSE
171	2.11058112
172	2.10621281
173	2.102459374
174	2.099462553
175	2.095820645
176	2.094176325
177	2.088834478
178	2.087366195
179	2.084330262
180	2.079086695
181	2.073692415
182	2.067460963
183	2.0609073
184	2.056597756
185	2.050571488
186	2.045313415
187	2.040250576
188	2.037252332
189	2.032314627
190	2.027103261
191	2.023318196
192	2.019669893
193	2.014756757
194	2.007839332
195	2.004759853
196	2.000185297
197	1.997180469
198	1.990998455
199	1.986007591
200	1.983793972
201	1.981407858
202	1.978367431
203	1.974861483
204	1.969465883
205	1.967513062
206	1.962887756
207	1.958284335
208	1.954738367
209	1.950663056
210	1.94775935
211	1.943623717
212	1.939934905
213	1.935945979
214	1.931908517
215	1.929780428
216	1.924763356
217	1.920352655
218	1.914589237
219	1.910238007
220	1.905138411
221	1.903140442
222	1.900929961
223	1.897907681
224	1.894385975
225	1.891629124
226	1.888511191
227	1.885658082
228	1.880613055
229	1.878670929
230	1.875685709
231	1.873960423
232	1.870846145
233	1.867226307
234	1.864612637
235	1.860078077
236	1.85789724
237	1.852902187
238	1.848900869
239	1.846631891
240	1.841685358
241	1.839158382
242	1.837808304
243	1.833169157
244	1.829198986
245	1.825472683
246	1.822556038
247	1.818547632
248	1.814152098
249	1.809765589
250	1.808481713
251	1.804620041
252	1.800125796
253	1.797359908
254	1.79269961
255	1.788406469
256	1.784625329
257	1.779952062
258	1.777687707
259	1.774755712
260	1.770898796
261	1.769331567
262	1.763181961
263	1.760648747
264	1.757995148
265	1.756134174
266	1.753620792
267	1.750282271
268	1.747361354
269	1.745758786
270	1.743476603
271	1.739474775
272	1.737935736
273	1.734956622
274	1.730308668
275	1.726790369
276	1.723237355
277	1.719133511
278	1.716666697
279	1.713402483
280	1.709078803
281	1.706818426
282	1.703898768
283	1.69920746
284	1.696860768
285	1.694947746
286	1.692905787
287	1.692184361
288	1.690374119
289	1.685531923
290	1.682951353
291	1.67993143
292	1.674730096
293	1.673671336
294	1.670609147
295	1.665812999
296	1.663993241
297	1.661768123
298	1.660411731
299	1.658564027
300	1.655161736
301	1.652308139
302	1.649093976
303	1.646423393
304	1.642392093
305	1.639795237
306	1.635879402
307	1.634208699
308	1.63000862
309	1.626195114
310	1.620986688
311	1.619174779
312	1.616009692
313	1.612157533
314	1.607936742
315	1.604223515
316	1.600891558
317	1.59770532
318	1.595136605
319	1.59203347
320	1.588416476
321	1.586877814
322	1.583060637
323	1.581061855
324	1.57836212
325	1.577731925
326	1.574972139
327	1.571023554
328	1.569026043
329	1.567739892
330	1.566295407
331	1.562672773
332	1.560640253
333	1.558283849
334	1.556129152
335	1.554120937
336	1.553317267
337	1.549474076
338	1.54629493
339	1.544137977
340	1.542252612
341	1.539817003
342	1.537036653
343	1.53471599
344	1.533206767
345	1.532181086
346	1.529160911
347	1.526821361
348	1.523926541
349	1.522295513
350	1.519574675
351	1.517874246
352	1.515713206
353	1.514935491
354	1.511954869
355	1.510175776
356	1.50880015
357	1.505100037
358	1.503220303
359	1.499693275
360	1.499068641
361	1.497161848
362	1.49563608
363	1.493729065
364	1.492168566
365	1.491411666
366	1.489298063
367	1.486546497
368	1.484524934
369	1.483482896
370	1.481978499
371	1.479328687
372	1.476142917
373	1.473027632
374	1.471443565
375	1.470724968
376	1.4670778
377	1.464049809
378	1.46064402
379	1.457467653
380	1.455847679
381	1.453821515
382	1.452784359
383	1.451503652
384	1.450474543
385	1.447361457
386	1.44608559
387	1.445226645
388	1.443432361
389	1.441739892
390	1.44040906
391	1.437467849
392	1.434801481
393	1.434413935
394	1.432007654
395	1.431106538
396	1.42780324
397	1.426826433
398	1.42393506
399	1.422814153
400	1.420754304
401	1.417913249
402	1.417015245
403	1.415271105
404	1.412031219
405	1.410270947
406	1.40874773
407	1.405809655
408	1.404851952
409	1.403409507
410	1.400651898
411	1.398007484
412	1.395655901
413	1.393540584
414	1.390842635
415	1.390130718
416	1.388579377
417	1.388334154
418	1.38549168
419	1.384667593
420	1.382081816
421	1.381797332
422	1.37989158
423	1.37744342
424	1.375854856
425	1.374585198
426	1.372378094
427	1.371804238
428	1.370502103
429	1.369286059
430	1.367770015
431	1.364666778
432	1.363403417
433	1.361018375
434	1.359149641
435	1.358240866
436	1.356517848
437	1.354651367
438	1.352271159
439	1.351094897
440	1.348989938
441	1.347294785
442	1.344760895
443	1.343981881
444	1.342817067
445	1.340666995
446	1.33880703
447	1.337841611
448	1.336294776
449	1.335434916
450	1.334228538
451	1.33273871
452	1.329899036
453	1.329044421
454	1.327417522
455	1.326540515
456	1.325038554
457	1.322440618
458	1.320307351
459	1.318257126
460	1.317216237
461	1.315768655
462	1.312444401
463	1.310466415
464	1.308592853
465	1.307166684
466	1.304420775
467	1.303478438
468	1.301618442
469	1.299419959
470	1.297934425
471	1.297046188
472	1.296063879
473	1.293920447
474	1.293213432
475	1.292041506
476	1.290244299
477	1.28938804
478	1.288719287
479	1.287086354
480	1.28512778
481	1.283157922
482	1.281707126
483	1.280708159
484	1.280291085
485	1.278279545
486	1.276590152
487	1.275079602
488	1.273814678
489	1.273230774
490	1.272663558
491	1.270945679
492	1.270337115
493	1.268606987
494	1.268009924
495	1.266025835
496	1.264278875
497	1.262681668
498	1.261255584
499	1.26035083
500	1.259023097
501	1.258061395
502	1.256743458
503	1.255602602
504	1.254223013
505	1.253115015
506	1.252299169
507	1.250664339
508	1.249467887
509	1.248136584
510	1.246979874
511	1.245658425
512	1.244806598
513	1.241579484
514	1.24088888
515	1.239628983
516	1.237901285
517	1.237261873
518	1.236359752
519	1.234427571
520	1.233589649
521	1.232683887
522	1.23218325
523	1.229629296
524	1.228050673
525	1.22547414
526	1.224741788
527	1.222997166
528	1.221620651
529	1.220083467
530	1.218948174
531	1.217008441
532	1.215459684
533	1.214116174
534	1.213265741
535	1.211729229
536	1.209695585
537	1.207722584
538	1.206720747
539	1.204424408
540	1.203432356
541	1.202217786
542	1.201292748
543	1.199157244
544	1.198911399
545	1.198302398
546	1.197401923
547	1.196022915
548	1.195514622
549	1.194232914
550	1.192210811
551	1.191471014
552	1.191096361
553	1.189955067
554	1.189206712
555	1.188852011
556	1.187556495
557	1.185478419
558	1.1842284
559	1.18248555
560	1.180777595
561	1.180269624
562	1.17824939
563	1.177264949
564	1.17614926
565	1.175235421
566	1.174119364
567	1.172972848
568	1.172281699
569	1.170853004
570	1.169401886
571	1.168700465
572	1.167639658
573	1.166532119
574	1.16566093
575	1.164237031
576	1.163929173
577	1.163364348
578	1.161960783
579	1.160669532
580	1.159660619
581	1.158749678
582	1.157142751
583	1.156669838
584	1.154957414
585	1.154206852
586	1.152287824
587	1.151200117
588	1.150291391
589	1.149206044
590	1.147936187
591	1.147075838
592	1.146111114
593	1.145462772
594	1.144607461
595	1.143653779
596	1.142608314
597	1.141705125
598	1.141163796
599	1.140748754
600	1.139569132
601	1.138430168
602	1.137092308
603	1.135850659
604	1.134584683
605	1.133626058
606	1.132240475
607	1.130113534
608	1.128898572
609	1.127622468
610	1.127080759
611	1.124792272
612	1.124261069
613	1.122275674
614	1.121058662
615	1.119289109
616	1.118919908
617	1.117776156
618	1.116721385
619	1.116418202
620	1.115020381
621	1.114044201
622	1.11327127
623	1.11259519
624	1.111939833
625	1.110685776
626	1.109252666
627	1.108025513
628	1.106494968
629	1.105584997
630	1.104508708
631	1.103040862
632	1.102110471
633	1.101133105
634	1.100204665
635	1.099874378
636	1.098120778
637	1.097180421
638	1.096067937
639	1.095080047
640	1.094005059
641	1.093499775
642	1.092318873
643	1.090527603
644	1.089964073
645	1.088921968
646	1.087676585
647	1.086538012
648	1.08515837
649	1.083791536
650	1.082361455
651	1.081897476
652	1.080317211
653	1.078963998
654	1.077885078
655	1.077034312
656	1.076001751
657	1.074939479
658	1.074118323
659	1.073406604
660	1.072371899
661	1.071624538
662	1.070653533
663	1.069918836
664	1.069008989
665	1.068488422
666	1.067585839
667	1.066372549
668	1.064589737
669	1.063691531
670	1.062825194
671	1.062318994
672	1.061707868
673	1.060893576
674	1.059969119
675	1.059760924
676	1.058732901
677	1.057489467
678	1.056808009
679	1.055776066
680	1.054492359
681	1.053754208
682	1.053077889
683	1.051726595
684	1.050948555
685	1.05005977
686	1.049067365
687	1.048451894
688	1.047721029
689	1.046891772
690	1.045670238
691	1.044714902
692	1.043543111
693	1.042358257
694	1.04142777
695	1.041013031
696	1.040146262
697	1.039413685
698	1.038643049
699	1.037988742
700	1.037332732
701	1.036276398
702	1.035116602
703	1.033971481
704	1.032867989
705	1.032422446
706	1.031410251
707	1.030526462
708	1.029856772
709	1.029054476
710	1.028521437
711	1.027265008
712	1.026255461
713	1.02533315
714	1.024719828
715	1.024050461
716	1.023518662
717	1.022851286
718	1.022631736
719	1.022145717
720	1.021418764
721	1.020624844
722	1.019925965
723	1.018818474
724	1.017668653
725	1.017009022
726	1.016368157
727	1.014848513
728	1.013869025
729	1.012973586
730	1.012209485
731	1.011013708
732	1.010261358
733	1.009522207
734	1.008616958
735	1.007453019
736	1.006502162
737	1.005915262
738	1.005448201
739	1.004693376
740	1.00392374
741	1.00324745
742	1.002853436
743	1.00170894
744	1.000984156
745	1.000310045
746	0.999416403
747	0.9985782386
748	0.997755815
749	0.9968057609
750	0.9957431649
751	0.9949987712
752	0.9940147683
753	0.9934511246
754	0.9929355243
755	0.9919908487
756	0.9908768505
757	0.9900456141
758	0.9891773992
759	0.9885672863
760	0.9872089084
761	0.9868470442
762	0.9861942337
763	0.985218723
764	0.9845820527
765	0.983718629
766	0.9826604361
767	0.98245831
768	0.981732894
769	0.9810233901
770	0.9806968114
771	0.979932636
772	0.9797674447
773	0.9792968238
774	0.9784841514
775	0.978233915
776	0.9775375252
777	0.9770381331
778	0.9763433687
779	0.9754371078
780	0.9743837451
781	0.974019252
782	0.9735670955
783	0.9728807773
784	0.9720832276
785	0.9715499302
786	0.9709756587
787	0.9704306598
788	0.9695594482
789	0.9689047326
790	0.9681358309
791	0.9678562006
792	0.9673430838
793	0.9669212979
794	0.9662625672
795	0.965781507
796	0.9649521094
797	0.9645931567
798	0.964051143
799	0.963651463
800	0.9629199046
801	0.9621478114
802	0.9616654328
803	0.9612096123
804	0.9604956969
805	0.9602598543
806	0.9594690205
807	0.9590241784
808	0.9583746182
809	0.9578400071
810	0.9569659335
811	0.9563365156
812	0.9549890097
813	0.9544837392
814	0.9536268956
815	0.9529006199
816	0.9525413529
817	0.9523200086
818	0.951334968
819	0.950700422
820	0.9505463606
821	0.9502192565
822	0.9494813517
823	0.9487790739
824	0.9476422759
825	0.9474227255
826	0.947127625
827	0.9469044853
828	0.9462456802
829	0.9456011458
830	0.944802393
831	0.9441585939
832	0.9439665234
833	0.943535135
834	0.9429204185
835	0.942206236
836	0.9419666983
837	0.9408514143
838	0.9402409533
839	0.9398555
840	0.9392267711
841	0.9385429105
842	0.937909489
843	0.9375475184
844	0.9370150801
845	0.9361691691
846	0.9351056706
847	0.9345685776
848	0.9337998123
849	0.9331147273
850	0.9319426294
851	0.9314991438
852	0.9306755733
853	0.9303131571
854	0.9297098589
855	0.9293405668
856	0.9285713429
857	0.9281662612
858	0.9277217699
859	0.9270236436
860	0.9266264277
861	0.92597822
862	0.9254043546
863	0.9247866177
864	0.9243864128
865	0.9239712039
866	0.9234170187
867	0.9225410885
868	0.9218082583
869	0.9215845171
870	0.9211738188
871	0.920556801
872	0.9200201986
873	0.9197294943
874	0.9193666141
875	0.9188693504
876	0.9184102323
877	0.9180577438
878	0.9175421956
879	0.9172250187
880	0.9169092163
881	0.9163915653
882	0.915957791
883	0.9155693326
884	0.9151460531
885	0.9142922406
886	0.9136355223
887	0.9132815726
888	0.9126595702
889	0.9123389996
890	0.9114742457
891	0.9107152277
892	0.9104502994
893	0.9103434597
894	0.909929723
895	0.9094991177
896	0.9090970693
897	0.9087008979
898	0.9082152736
899	0.9071997077
900	0.906529547
901	0.9061997211
902	0.9058800945
903	0.9052247252
904	0.9044803531
905	0.9039983078
906	0.9034718678
907	0.9031793463
908	0.9028746441
909	0.9022608135
910	0.9019520667
911	0.9016874233
912	0.90092839
913	0.9003565835
914	0.9000431922
915	0.8996615613
916	0.8983879069
917	0.8976386744
918	0.8973259918
919	0.8971782214
920	0.8967609535
921	0.8957951509
922	0.8953897139
923	0.8949207908
924	0.8946742751
925	0.8940901247
926	0.8934509962
927	0.8924068061
928	0.8917432553
929	0.8911660985
930	0.8909703138
931	0.8906528154
932	0.8902553527
933	0.8900027068
934	0.8895142059
935	0.8891577328
936	0.8887636148
937	0.8883905431
938	0.8879949359
939	0.8876794819
940	0.8870292021
941	0.8864386621
942	0.8858039983
943	0.885514438
944	0.8845166186
945	0.8841923731
946	0.882583279
947	0.8815942181
948	0.8812411708
949	0.8809974415
950	0.88042496
951	0.8801521965
952	0.8793020686
953	0.8785062642
954	0.8776347535
955	0.8773252164
956	0.8767997494
957	0.8764390769
958	0.8761744547
959	0.8753372187
960	0.8748074449
961	0.8745356073
962	0.8740245143
963	0.8735242077
964	0.8729222912
965	0.8724631117
966	0.8720001862
967	0.8713208558
968	0.8709141166
969	0.8705699605
970	0.8699207319
971	0.8695073423
972	0.8689435041
973	0.8681571264
974	0.8672290065
975	0.8668947888
976	0.8665825613
977	0.8661965993
978	0.8658757608
979	0.8656750443
980	0.8654504756
981	0.8647887527
982	0.8644752063
983	0.8638775984
984	0.8636457638
985	0.8629613066
986	0.8624750189
987	0.8619751148
988	0.8615020685
989	0.8607753457
990	0.8598199481
991	0.8590136018
992	0.8582399642
993	0.8579430059
994	0.8572652363
995	0.8568217197
996	0.856484755
997	0.8560881202
998	0.8557494963
999	0.8550461184
